2,1
30
E,2,1
R,0,0,0,0,3
R,0,0,0,1,2
R,0,0,1,2,2
R,0,0,1,3,4
R,0,1,1,4,4
R,0,2,1,5,4
R,0,2,1,6,1
R,0,2,0,7,1
R,0,2,0,8,4
R,0,2,0,9,2
R,0,2,1,10,2
R,0,2,1,11,4
R,0,2,1,12,1
R,0,2,1,13,1
R,0,2,0,14,1
R,0,2,0,15,1
R,0,2,0,16,4
R,0,2,0,17,2
R,0,2,0,18,2
R,0,2,1,19,2
R,0,2,1,20,3
R,0,1,1,21,3
R,0,1,1,22,2
R,0,1,1,23,4
R,0,1,1,24,4
R,0,1,1,25,1
R,0,1,1,26,1
R,0,1,1,27,1
R,0,1,1,28,1
R,0,1,1,29,4
R,0,2,1,30,4
C,0,1,0,0,0
C,0,1,0,0,1
C,0,1,0,0,2
C,0,1,0,0,3
C,0,1,0,0,4
C,0,1,0,0,5
C,0,1,0,0,6
C,0,1,0,0,7
C,0,1,0,0,8
C,0,1,0,0,9
C,0,1,0,0,10
C,0,1,0,0,11
C,0,1,0,0,12
C,0,1,0,0,13
C,0,1,0,0,14
C,0,1,0,0,15
C,0,1,0,0,16
C,0,1,0,0,17
C,0,1,0,0,18
C,0,1,0,0,19
C,0,1,0,0,20
C,0,1,0,0,21
C,0,1,0,0,22
C,0,1,0,0,23
C,0,1,0,0,24
C,0,1,0,0,25
C,0,1,1,1,26
C,0,1,1,1,27
C,0,1,1,1,28
C,0,1,1,1,29
C,0,2,1,1,30
